occupation,record_count,occupation_group,entry_type,occupation_norm_proposed,review_required,review_reason,representative_person_ids,representative_page_numbers,owner_decision,owner_note
чернорабочий,2,General and manual labor,case_spelling_or_synonym,Чернорабочий,Yes,"Case, spelling, or close synonym proposed for consolidation",P000752; P001181,73; 99,,
Бондарь и столяр,1,Compound occupations,compound,Бондарь; Столяр,Yes,Two occupations; proposed semicolon-delimited analytical value,P006770,449,,
Был плотником,1,Construction and building trades,descriptive_or_qualified,Был плотником,Yes,Narrative or qualified occupation; review the analytical trade and preserve detail,P002379,174,,
Варит квас булочник,1,Food production and service,descriptive_or_qualified,Варит квас булочник,Yes,Narrative or qualified occupation; review the analytical trade and preserve detail,P000239,41,,
Возит хлеб на дорогу для команды,1,Transport and animal transport,descriptive_or_qualified,Возит хлеб на дорогу для команды,Yes,Narrative or qualified occupation; review the analytical trade and preserve detail,P002438,178,,
Гонит деготь,1,Other / requires classification,case_spelling_or_synonym,Дегтярь,Yes,"Case, spelling, or close synonym proposed for consolidation",P000128,35,,
Горшечник,1,Specialized crafts and personal services,case_spelling_or_synonym,Гончар,Yes,"Case, spelling, or close synonym proposed for consolidation",P006219,418,,
Дровонос,1,General and manual labor,case_spelling_or_synonym,Дровотаск,Yes,"Case, spelling, or close synonym proposed for consolidation",P002450,179,,
Каюр: 2 нартовые собаки,1,Transport and animal transport,descriptive_or_qualified,Каюр: 2 нартовые собаки,Yes,Narrative or qualified occupation; review the analytical trade and preserve detail,P002514,182,,
Ловит шримсов,1,Fishing and hunting,descriptive_or_qualified,Ловит шримсов,Yes,Narrative or qualified occupation; review the analytical trade and preserve detail,P000134,35,,
На катере,1,Transport and animal transport,descriptive_or_qualified,На катере,Yes,Narrative or qualified occupation; review the analytical trade and preserve detail,P000423,52,,
Ничего,1,No occupation recorded,explicit_no_occupation,Нет занятия,Yes,Explicitly states no occupation; approve shared analytical category,P001001,88,,
Ничем,1,No occupation recorded,explicit_no_occupation,Нет занятия,Yes,Explicitly states no occupation; approve shared analytical category,P001014,89,,
Охотник и каюр,1,Compound occupations,compound,Охотник; Каюр,Yes,Two occupations; proposed semicolon-delimited analytical value,P002592,186,,
Охотник и сапожник,1,Compound occupations,compound,Охотник; Сапожник,Yes,Two occupations; proposed semicolon-delimited analytical value,P007273,476,,
Печник и колбасник,1,Compound occupations,compound,Печник; Колбасник,Yes,Two occupations; proposed semicolon-delimited analytical value,P006765,448,,
Печник и плотник,1,Compound occupations,compound,Печник; Плотник,Yes,Two occupations; proposed semicolon-delimited analytical value,P000439,53,,
Печник и сапожник,1,Compound occupations,compound,Печник; Сапожник,Yes,Two occupations; proposed semicolon-delimited analytical value,P001601,125,,
Портной и огородник,1,Compound occupations,compound,Портной; Огородник,Yes,Two occupations; proposed semicolon-delimited analytical value,P007230,474,,
Раcсыльный,1,"Trade, clerical and communications",case_spelling_or_synonym,Рассыльный,Yes,"Case, spelling, or close synonym proposed for consolidation",P000360,49,,
Работает на покосе,1,Agriculture and animal husbandry,descriptive_or_qualified,Работает на покосе,Yes,Narrative or qualified occupation; review the analytical trade and preserve detail,P002883,203,,
Рыболов и каюр,1,Compound occupations,compound,Рыболов; Каюр,Yes,Two occupations; proposed semicolon-delimited analytical value,P002541,183,,
Сапожник и кожевник,1,Compound occupations,compound,Сапожник; Кожевник,Yes,Two occupations; proposed semicolon-delimited analytical value,P006694,445,,
Старший надзиратель и переплетчик,1,Compound occupations,compound,Старший надзиратель; Переплетчик,Yes,Two occupations; proposed semicolon-delimited analytical value,P000288,44,,
Старший надзиратель на катере,1,Transport and animal transport,descriptive_or_qualified,Старший надзиратель на катере,Yes,Narrative or qualified occupation; review the analytical trade and preserve detail,P000252,42,,
Штукатур и сапожник,1,Compound occupations,compound,Штукатур; Сапожник,Yes,Two occupations; proposed semicolon-delimited analytical value,P000765,74,,
в работниках,1,General and manual labor,case_spelling_or_synonym,В работниках,Yes,"Case, spelling, or close synonym proposed for consolidation",P004407,307,,
золотых дел мастер,1,Specialized crafts and personal services,case_spelling_or_synonym,Золотых дел мастер,Yes,"Case, spelling, or close synonym proposed for consolidation",P000388,50,,
каменщик,1,Construction and building trades,case_spelling_or_synonym,Каменщик,Yes,"Case, spelling, or close synonym proposed for consolidation",P000751,73,,
моет полы на кордоне,1,General and manual labor,case_spelling_or_synonym,Моет полы на кордоне,Yes,"Case, spelling, or close synonym proposed for consolidation",P002445,178,,
носит сено,1,Agriculture and animal husbandry,descriptive_or_qualified,Носит сено,Yes,Narrative or qualified occupation; review the analytical trade and preserve detail,P002453,179,,
портной,1,Clothing and textile trades,case_spelling_or_synonym,Портной,Yes,"Case, spelling, or close synonym proposed for consolidation",P000760,73,,
рабочая,1,General and manual labor,case_spelling_or_synonym,Рабочая,Yes,"Case, spelling, or close synonym proposed for consolidation",P002324,170,,
слесарь,1,Metalworking and machinery,case_spelling_or_synonym,Слесарь,Yes,"Case, spelling, or close synonym proposed for consolidation",P000898,82,,
старший надзиратель,1,Administration and supervision,case_spelling_or_synonym,Старший надзиратель,Yes,"Case, spelling, or close synonym proposed for consolidation",P002769,197,,
стекольщик,1,Construction and building trades,case_spelling_or_synonym,Стекольщик,Yes,"Case, spelling, or close synonym proposed for consolidation",P002868,203,,
чернорабочая,1,General and manual labor,case_spelling_or_synonym,Чернорабочая,Yes,"Case, spelling, or close synonym proposed for consolidation",P001108,94,,
швея,1,Clothing and textile trades,case_spelling_or_synonym,Швея,Yes,"Case, spelling, or close synonym proposed for consolidation",P001041,90,,
