occupation,record_count,occupation_group,entry_type,occupation_norm_proposed,review_required,review_reason,representative_person_ids,representative_page_numbers,owner_decision,owner_note
Никакого,29,No occupation recorded,explicit_no_occupation,Нет занятия,Yes,Explicitly states no occupation; approve shared analytical category,P000097; P000568; P000644; P000647; P000652,33; 61; 66; 67; 68,,
Слесарь,28,Metalworking and machinery,single_occupation,Слесарь,No,Single occupation value; retain pending vocabulary review,P000110; P000443; P000508; P000576; P000578,34; 53; 57; 62; 66,,
Кузнец,25,Metalworking and machinery,single_occupation,Кузнец,No,Single occupation value; retain pending vocabulary review,P000317; P000810; P000832; P000890; P001117,46; 76; 78; 81; 95,,
Старший надзиратель,23,Administration and supervision,single_occupation,Старший надзиратель,No,Single occupation value; retain pending vocabulary review,P000104; P000251; P000263; P000280; P000526,33; 42; 43; 44; 59,,
Надзиратель,22,Administration and supervision,single_occupation,Надзиратель,No,Single occupation value; retain pending vocabulary review,P000011; P000024; P000111; P000631; P000657,27; 28; 34; 65; 67,,
Печник,22,Construction and building trades,single_occupation,Печник,No,Single occupation value; retain pending vocabulary review,P000231; P000378; P000379; P000380; P000432,41; 50; 53; 74; 81,,
Пастух,21,Agriculture and animal husbandry,single_occupation,Пастух,No,Single occupation value; retain pending vocabulary review,P001628; P001629; P001634; P001823; P002921,126; 127; 139; 225; 232,,
Сторож,21,Administration and supervision,single_occupation,Сторож,No,Single occupation value; retain pending vocabulary review,P000101; P000124; P000126; P000129; P000131,33; 35; 42; 61; 80,,
Каменный уголь,14,General and manual labor,single_occupation,Каменный уголь,No,Single occupation value; retain pending vocabulary review,P002658; P002663; P002674; P002747; P002751,190; 195; 197; 199; 200,,
Работник,14,General and manual labor,single_occupation,Работник,No,Single occupation value; retain pending vocabulary review,P000006; P000010; P000036; P000037; P000052,27; 29; 30; 31; 33,,
Торговля,14,"Trade, clerical and communications",single_occupation,Торговля,No,Single occupation value; retain pending vocabulary review,P000091; P000098; P000146; P000149; P000172,32; 33; 36; 38; 41,,
Дровотаск,13,General and manual labor,single_occupation,Дровотаск,No,Single occupation value; retain pending vocabulary review,P000136; P000402; P002452; P002456; P002678,36; 51; 179; 191; 199,,
Бондарь,12,Woodworking and manufactured crafts,single_occupation,Бондарь,No,Single occupation value; retain pending vocabulary review,P000233; P000434; P006357; P006640; P006796,41; 53; 426; 442; 450,,
Младший надзиратель,11,Administration and supervision,single_occupation,Младший надзиратель,No,Single occupation value; retain pending vocabulary review,P000269; P000919; P001896; P001954; P002071,43; 83; 143; 147; 154,,
Хлебопашец,8,Agriculture and animal husbandry,single_occupation,Хлебопашец,No,Single occupation value; retain pending vocabulary review,P000007; P000033; P000040; P000046; P000048,27; 29; 30; 31,,
Прачка,7,Clothing and textile trades,single_occupation,Прачка,No,Single occupation value; retain pending vocabulary review,P000338; P000994; P001016; P001018; P001033,47; 88; 89; 90; 104,,
Рабочая,7,General and manual labor,single_occupation,Рабочая,No,Single occupation value; retain pending vocabulary review,P002155; P002164; P002167; P002186; P002363,159; 160; 161; 173; 174,,
Хлебопек,7,Food production and service,single_occupation,Хлебопек,No,Single occupation value; retain pending vocabulary review,P000001; P000022; P000138; P000148; P002139,27; 28; 36; 158; 179,,
Маляр,6,Construction and building trades,single_occupation,Маляр,No,Single occupation value; retain pending vocabulary review,P006214; P006328; P006523; P006829; P007324,417; 424; 435; 452; 479,,
Булочник,5,Food production and service,single_occupation,Булочник,No,Single occupation value; retain pending vocabulary review,P000477; P002693; P006190; P006208; P006944,55; 192; 416; 417; 458,,
Охотник,5,Fishing and hunting,single_occupation,Охотник,No,Single occupation value; retain pending vocabulary review,P002505; P002548; P002555; P002560; P002589,182; 184; 186,,
Рассыльный,5,"Trade, clerical and communications",single_occupation,Рассыльный,No,Single occupation value; retain pending vocabulary review,P000271; P000358; P001327; P002255; P002449,43; 48; 108; 165; 178,,
Шорник,5,Footwear and leather trades,single_occupation,Шорник,No,Single occupation value; retain pending vocabulary review,P000726; P006415; P006538; P006871; P007271,71; 429; 436; 454; 476,,
Каюр,4,Transport and animal transport,single_occupation,Каюр,No,Single occupation value; retain pending vocabulary review,P002496; P002498; P002581; P002585,181; 182; 185; 186,,
Кожевник,4,Footwear and leather trades,single_occupation,Кожевник,No,Single occupation value; retain pending vocabulary review,P006401; P006402; P007237; P007444,428; 474; 485,,
Механик,4,Metalworking and machinery,single_occupation,Механик,No,Single occupation value; retain pending vocabulary review,P000189; P001220; P001369; P001386,39; 101; 110; 111,,
Токарь,4,Metalworking and machinery,single_occupation,Токарь,No,Single occupation value; retain pending vocabulary review,P000321; P001024; P006388; P006676,46; 89; 428; 444,,
Учитель,4,"Education, religion and medicine",single_occupation,Учитель,No,Single occupation value; retain pending vocabulary review,P000290; P001692; P002123; P005654,44; 130; 157; 376,,
Фельдшер,4,"Education, religion and medicine",single_occupation,Фельдшер,No,Single occupation value; retain pending vocabulary review,P001188; P001617; P006150; P006464,99; 126; 414; 432,,
Каменщик,3,Construction and building trades,single_occupation,Каменщик,No,Single occupation value; retain pending vocabulary review,P006366; P006467; P007185,426; 432; 471,,
Мельник,3,Food production and service,single_occupation,Мельник,No,Single occupation value; retain pending vocabulary review,P001351; P006434; P007384,109; 430; 482,,
На мельнице,3,Food production and service,descriptive_or_qualified,На мельнице,Yes,Narrative or qualified occupation; review the analytical trade and preserve detail,P000403; P000504; P000507,51; 57,,
Служанка,3,Domestic service,single_occupation,Служанка,No,Single occupation value; retain pending vocabulary review,P000076; P001157; P001180,31; 97; 99,,
Телеграфист,3,"Trade, clerical and communications",single_occupation,Телеграфист,No,Single occupation value; retain pending vocabulary review,P000125; P001333; P002762,35; 108; 196,,
Штукатур,3,Construction and building trades,single_occupation,Штукатур,No,Single occupation value; retain pending vocabulary review,P000731; P006832; P007005,71; 452; 461,,
Гончар,2,Specialized crafts and personal services,single_occupation,Гончар,No,Single occupation value; retain pending vocabulary review,P001884; P007071,143; 465,,
Гравер,2,Specialized crafts and personal services,single_occupation,Гравер,No,Single occupation value; retain pending vocabulary review,P000294; P001228,45; 102,,
Дегтярь,2,Specialized crafts and personal services,single_occupation,Дегтярь,No,Single occupation value; retain pending vocabulary review,P006581; P006642,439; 442,,
Делает папиросы,2,Specialized crafts and personal services,descriptive_or_qualified,Делает папиросы,Yes,Narrative or qualified occupation; review the analytical trade and preserve detail,P001321; P001322,107,,
Землемер,2,"Trade, clerical and communications",single_occupation,Землемер,No,Single occupation value; retain pending vocabulary review,P006254; P006288,420; 422,,
Каюр: 15 нартовых собак,2,Transport and animal transport,descriptive_or_qualified,Каюр: 15 нартовых собак,Yes,Narrative or qualified occupation; review the analytical trade and preserve detail,P002509; P002511,182,,
Каюр: 3 нартовые собаки,2,Transport and animal transport,descriptive_or_qualified,Каюр: 3 нартовые собаки,Yes,Narrative or qualified occupation; review the analytical trade and preserve detail,P002517; P002519,182,,
Колесник,2,Woodworking and manufactured crafts,single_occupation,Колесник,No,Single occupation value; retain pending vocabulary review,P001606; P006799,125; 450,,
Конюх,2,Transport and animal transport,single_occupation,Конюх,No,Single occupation value; retain pending vocabulary review,P002454; P006964,179; 459,,
Кучер,2,Transport and animal transport,single_occupation,Кучер,No,Single occupation value; retain pending vocabulary review,P006404; P006590,429; 439,,
Медник,2,Metalworking and machinery,single_occupation,Медник,No,Single occupation value; retain pending vocabulary review,P006985; P007341,460; 480,,
Мулла,2,"Education, religion and medicine",single_occupation,Мулла,No,Single occupation value; retain pending vocabulary review,P000273; P006078,43; 400,,
Наборщик,2,"Trade, clerical and communications",single_occupation,Наборщик,No,Single occupation value; retain pending vocabulary review,P000997; P001058,88; 91,,
Носит сено,2,Agriculture and animal husbandry,descriptive_or_qualified,Носит сено,Yes,Narrative or qualified occupation; review the analytical trade and preserve detail,P002451; P002457,179,,
Переплетчик,2,"Trade, clerical and communications",single_occupation,Переплетчик,No,Single occupation value; retain pending vocabulary review,P001283; P007253,105; 475,,
Повар,2,Food production and service,single_occupation,Повар,No,Single occupation value; retain pending vocabulary review,P000038; P006206,29; 417,,
При матери,2,Dependent / supported by family,dependent_status,При матери,Yes,Support/dependency statement rather than a trade,P000014; P000015,28,,
При отце,2,Dependent / supported by family,dependent_status,При отце,Yes,Support/dependency statement rather than a trade,P000049; P000060,30,,
Рыбак,2,Fishing and hunting,case_spelling_or_synonym,Рыболов,Yes,"Case, spelling, or close synonym proposed for consolidation",P002364; P007057,173; 464,,
Рыбалка,2,Fishing and hunting,case_spelling_or_synonym,Рыболов,Yes,"Case, spelling, or close synonym proposed for consolidation",P003237; P003248,243; 244,,
дровотаск,2,General and manual labor,case_spelling_or_synonym,Дровотаск,Yes,"Case, spelling, or close synonym proposed for consolidation",P002627; P002811,188; 199,,
каменный уголь,2,General and manual labor,case_spelling_or_synonym,Каменный уголь,Yes,"Case, spelling, or close synonym proposed for consolidation",P002650; P002833,189; 200,,
кузнец,2,Metalworking and machinery,case_spelling_or_synonym,Кузнец,Yes,"Case, spelling, or close synonym proposed for consolidation",P001003; P001258,88; 103,,
писарь,2,"Trade, clerical and communications",case_spelling_or_synonym,Писарь,Yes,"Case, spelling, or close synonym proposed for consolidation",P002257; P006285,165; 421,,
сапожник,2,Footwear and leather trades,case_spelling_or_synonym,Сапожник,Yes,"Case, spelling, or close synonym proposed for consolidation",P001019; P001193,89; 99,,
чернорабочий,2,General and manual labor,case_spelling_or_synonym,Чернорабочий,Yes,"Case, spelling, or close synonym proposed for consolidation",P000752; P001181,73; 99,,
15 старший надзиратель,1,Administration and supervision,single_occupation,15 старший надзиратель,No,Single occupation value; retain pending vocabulary review,P003309,247,,
Банщик,1,Food production and service,single_occupation,Банщик,No,Single occupation value; retain pending vocabulary review,P000275,44,,
Баня,1,Food production and service,single_occupation,Баня,No,Single occupation value; retain pending vocabulary review,P000155,37,,
Богадельщик,1,Non-occupational status / exceptional,single_occupation,Богадельщик,No,Single occupation value; retain pending vocabulary review,P001822,138,,
Бондарь и столяр,1,Compound occupations,compound,Бондарь; Столяр,Yes,Two occupations; proposed semicolon-delimited analytical value,P006770,449,,
Был плотником,1,Construction and building trades,descriptive_or_qualified,Был плотником,Yes,Narrative or qualified occupation; review the analytical trade and preserve detail,P002379,174,,
Варит квас булочник,1,Food production and service,descriptive_or_qualified,Варит квас булочник,Yes,Narrative or qualified occupation; review the analytical trade and preserve detail,P000239,41,,
Ветеринарный фельдшер,1,"Education, religion and medicine",single_occupation,Ветеринарный фельдшер,No,Single occupation value; retain pending vocabulary review,P000916,83,,
Возит хлеб на дорогу для команды,1,Transport and animal transport,descriptive_or_qualified,Возит хлеб на дорогу для команды,Yes,Narrative or qualified occupation; review the analytical trade and preserve detail,P002438,178,,
Гонит деготь,1,Other / requires classification,case_spelling_or_synonym,Дегтярь,Yes,"Case, spelling, or close synonym proposed for consolidation",P000128,35,,
Горшечник,1,Specialized crafts and personal services,case_spelling_or_synonym,Гончар,Yes,"Case, spelling, or close synonym proposed for consolidation",P006219,418,,
Гребенщик,1,Woodworking and manufactured crafts,single_occupation,Гребенщик,No,Single occupation value; retain pending vocabulary review,P006380,427,,
Дровонос,1,General and manual labor,case_spelling_or_synonym,Дровотаск,Yes,"Case, spelling, or close synonym proposed for consolidation",P002450,179,,
Заведующий станцией,1,Administration and supervision,single_occupation,Заведующий станцией,No,Single occupation value; retain pending vocabulary review,P002120,157,,
Закройщик,1,Clothing and textile trades,single_occupation,Закройщик,No,Single occupation value; retain pending vocabulary review,P001034,90,,
Золотых дел мастер,1,Specialized crafts and personal services,single_occupation,Золотых дел мастер,No,Single occupation value; retain pending vocabulary review,P001340,109,,
Инкрустационное,1,Woodworking and manufactured crafts,single_occupation,Инкрустационное,No,Single occupation value; retain pending vocabulary review,P001023,89,,
Катерный,1,Transport and animal transport,single_occupation,Катерный,No,Single occupation value; retain pending vocabulary review,P001297,106,,
Катерный машинист,1,Metalworking and machinery,single_occupation,Катерный машинист,No,Single occupation value; retain pending vocabulary review,P002710,193,,
Каюр: 2 нартовые собаки,1,Transport and animal transport,descriptive_or_qualified,Каюр: 2 нартовые собаки,Yes,Narrative or qualified occupation; review the analytical trade and preserve detail,P002514,182,,
Кирпичник,1,Construction and building trades,single_occupation,Кирпичник,No,Single occupation value; retain pending vocabulary review,P006387,427,,
Колбасник,1,Food production and service,single_occupation,Колбасник,No,Single occupation value; retain pending vocabulary review,P000747,72,,
Кондитер,1,Food production and service,single_occupation,Кондитер,No,Single occupation value; retain pending vocabulary review,P000818,77,,
Коновал,1,Agriculture and animal husbandry,single_occupation,Коновал,No,Single occupation value; retain pending vocabulary review,P001109,94,,
Конторщик,1,"Trade, clerical and communications",single_occupation,Конторщик,No,Single occupation value; retain pending vocabulary review,P002801,198,,
Котельщик,1,Metalworking and machinery,single_occupation,Котельщик,No,Single occupation value; retain pending vocabulary review,P007012,462,,
Красильщик,1,Clothing and textile trades,single_occupation,Красильщик,No,Single occupation value; retain pending vocabulary review,P000586,62,,
Кровельщик,1,Construction and building trades,single_occupation,Кровельщик,No,Single occupation value; retain pending vocabulary review,P000169,37,,
Кухарка,1,Food production and service,single_occupation,Кухарка,No,Single occupation value; retain pending vocabulary review,P000039,29,,
Литейщик,1,Metalworking and machinery,single_occupation,Литейщик,No,Single occupation value; retain pending vocabulary review,P001306,106,,
Ловит шримсов,1,Fishing and hunting,descriptive_or_qualified,Ловит шримсов,Yes,Narrative or qualified occupation; review the analytical trade and preserve detail,P000134,35,,
Ложечник,1,Woodworking and manufactured crafts,single_occupation,Ложечник,No,Single occupation value; retain pending vocabulary review,P006633,441,,
Машинист,1,Metalworking and machinery,single_occupation,Машинист,No,Single occupation value; retain pending vocabulary review,P001375,111,,
Моет полы,1,General and manual labor,single_occupation,Моет полы,No,Single occupation value; retain pending vocabulary review,P000256,42,,
Мясник,1,Food production and service,single_occupation,Мясник,No,Single occupation value; retain pending vocabulary review,P006188,416,,
На катере,1,Transport and animal transport,descriptive_or_qualified,На катере,Yes,Narrative or qualified occupation; review the analytical trade and preserve detail,P000423,52,,
Ничего,1,No occupation recorded,explicit_no_occupation,Нет занятия,Yes,Explicitly states no occupation; approve shared analytical category,P001001,88,,
Ничем,1,No occupation recorded,explicit_no_occupation,Нет занятия,Yes,Explicitly states no occupation; approve shared analytical category,P001014,89,,
Обойщик,1,Construction and building trades,single_occupation,Обойщик,No,Single occupation value; retain pending vocabulary review,P001415,113,,
Огородник,1,Agriculture and animal husbandry,single_occupation,Огородник,No,Single occupation value; retain pending vocabulary review,P006414,429,,
Охотник и каюр,1,Compound occupations,compound,Охотник; Каюр,Yes,Two occupations; proposed semicolon-delimited analytical value,P002592,186,,
Охотник и сапожник,1,Compound occupations,compound,Охотник; Сапожник,Yes,Two occupations; proposed semicolon-delimited analytical value,P007273,476,,
Папиросник,1,Specialized crafts and personal services,single_occupation,Папиросник,No,Single occupation value; retain pending vocabulary review,P000967,86,,
Парикмахер,1,Specialized crafts and personal services,single_occupation,Парикмахер,No,Single occupation value; retain pending vocabulary review,P006169,415,,
Певчий,1,"Education, religion and medicine",single_occupation,Певчий,No,Single occupation value; retain pending vocabulary review,P001272,104,,
Певчий регент,1,"Education, religion and medicine",single_occupation,Певчий регент,No,Single occupation value; retain pending vocabulary review,P000482,56,,
Перевозчик,1,Transport and animal transport,single_occupation,Перевозчик,No,Single occupation value; retain pending vocabulary review,P000135,35,,
Печатник,1,"Trade, clerical and communications",single_occupation,Печатник,No,Single occupation value; retain pending vocabulary review,P001030,90,,
Печатник типографии,1,"Trade, clerical and communications",single_occupation,Печатник типографии,No,Single occupation value; retain pending vocabulary review,P001192,99,,
Печник и колбасник,1,Compound occupations,compound,Печник; Колбасник,Yes,Two occupations; proposed semicolon-delimited analytical value,P006765,448,,
Печник и плотник,1,Compound occupations,compound,Печник; Плотник,Yes,Two occupations; proposed semicolon-delimited analytical value,P000439,53,,
Печник и сапожник,1,Compound occupations,compound,Печник; Сапожник,Yes,Two occupations; proposed semicolon-delimited analytical value,P001601,125,,
Подмастерье у золотых дел мастера,1,Specialized crafts and personal services,single_occupation,Подмастерье у золотых дел мастера,No,Single occupation value; retain pending vocabulary review,P000140,36,,
Портниха,1,Clothing and textile trades,single_occupation,Портниха,No,Single occupation value; retain pending vocabulary review,P000370,49,,
Портной и огородник,1,Compound occupations,compound,Портной; Огородник,Yes,Two occupations; proposed semicolon-delimited analytical value,P007230,474,,
Приказчик,1,"Trade, clerical and communications",single_occupation,Приказчик,No,Single occupation value; retain pending vocabulary review,P000030,29,,
Приказчик в колонизационном фонде,1,"Trade, clerical and communications",single_occupation,Приказчик в колонизационном фонде,No,Single occupation value; retain pending vocabulary review,P000458,54,,
Прислугой,1,Domestic service,single_occupation,Прислугой,No,Single occupation value; retain pending vocabulary review,P002712,193,,
Псаломщик,1,"Education, religion and medicine",single_occupation,Псаломщик,No,Single occupation value; retain pending vocabulary review,P001208,100,,
Раcсыльный,1,"Trade, clerical and communications",case_spelling_or_synonym,Рассыльный,Yes,"Case, spelling, or close synonym proposed for consolidation",P000360,49,,
Работает на покосе,1,Agriculture and animal husbandry,descriptive_or_qualified,Работает на покосе,Yes,Narrative or qualified occupation; review the analytical trade and preserve detail,P002883,203,,
Работница,1,General and manual labor,single_occupation,Работница,No,Single occupation value; retain pending vocabulary review,P000062,31,,
Рабочий в смольной яме,1,General and manual labor,single_occupation,Рабочий в смольной яме,No,Single occupation value; retain pending vocabulary review,P001614,126,,
Рыболов,1,Fishing and hunting,single_occupation,Рыболов,No,Single occupation value; retain pending vocabulary review,P002533,183,,
Рыболов и каюр,1,Compound occupations,compound,Рыболов; Каюр,Yes,Two occupations; proposed semicolon-delimited analytical value,P002541,183,,
Садовник,1,Agriculture and animal husbandry,single_occupation,Садовник,No,Single occupation value; retain pending vocabulary review,P006580,439,,
Сапожник и кожевник,1,Compound occupations,compound,Сапожник; Кожевник,Yes,Two occupations; proposed semicolon-delimited analytical value,P006694,445,,
Скульптор,1,Woodworking and manufactured crafts,single_occupation,Скульптор,No,Single occupation value; retain pending vocabulary review,P000819,77,,
Смазчик,1,Metalworking and machinery,single_occupation,Смазчик,No,Single occupation value; retain pending vocabulary review,P001391,112,,
Смотритель тюрьмы,1,Administration and supervision,single_occupation,Смотритель тюрьмы,No,Single occupation value; retain pending vocabulary review,P002796,198,,
Старший надзиратель и переплетчик,1,Compound occupations,compound,Старший надзиратель; Переплетчик,Yes,Two occupations; proposed semicolon-delimited analytical value,P000288,44,,
Старший надзиратель на катере,1,Transport and animal transport,descriptive_or_qualified,Старший надзиратель на катере,Yes,Narrative or qualified occupation; review the analytical trade and preserve detail,P000252,42,,
Сторож в казенном доме,1,Administration and supervision,single_occupation,Сторож в казенном доме,No,Single occupation value; retain pending vocabulary review,P002228,163,,
Тележник,1,Woodworking and manufactured crafts,single_occupation,Тележник,No,Single occupation value; retain pending vocabulary review,P006422,430,,
Ткач суконный,1,Clothing and textile trades,single_occupation,Ткач суконный,No,Single occupation value; retain pending vocabulary review,P000799,76,,
Торговец,1,"Trade, clerical and communications",single_occupation,Торговец,No,Single occupation value; retain pending vocabulary review,P001860,141,,
Учительница,1,"Education, religion and medicine",single_occupation,Учительница,No,Single occupation value; retain pending vocabulary review,P001429,114,,
Фельдегерь,1,Administration and supervision,single_occupation,Фельдегерь,No,Single occupation value; retain pending vocabulary review,P006203,417,,
Фельдшерица,1,"Education, religion and medicine",single_occupation,Фельдшерица,No,Single occupation value; retain pending vocabulary review,P000092,32,,
Цирюльник,1,Specialized crafts and personal services,single_occupation,Цирюльник,No,Single occupation value; retain pending vocabulary review,P001367,110,,
Часовых дел мастер,1,Specialized crafts and personal services,single_occupation,Часовых дел мастер,No,Single occupation value; retain pending vocabulary review,P000558,61,,
Швея,1,Clothing and textile trades,single_occupation,Швея,No,Single occupation value; retain pending vocabulary review,P000509,57,,
Шляпочник,1,Clothing and textile trades,single_occupation,Шляпочник,No,Single occupation value; retain pending vocabulary review,P006316,423,,
Штейгер,1,Metalworking and machinery,single_occupation,Штейгер,No,Single occupation value; retain pending vocabulary review,P002618,187,,
Штукатур и сапожник,1,Compound occupations,compound,Штукатур; Сапожник,Yes,Two occupations; proposed semicolon-delimited analytical value,P000765,74,,
Щеточник,1,Woodworking and manufactured crafts,single_occupation,Щеточник,No,Single occupation value; retain pending vocabulary review,P001017,89,,
в работниках,1,General and manual labor,case_spelling_or_synonym,В работниках,Yes,"Case, spelling, or close synonym proposed for consolidation",P004407,307,,
золотых дел мастер,1,Specialized crafts and personal services,case_spelling_or_synonym,Золотых дел мастер,Yes,"Case, spelling, or close synonym proposed for consolidation",P000388,50,,
каменщик,1,Construction and building trades,case_spelling_or_synonym,Каменщик,Yes,"Case, spelling, or close synonym proposed for consolidation",P000751,73,,
моет полы на кордоне,1,General and manual labor,case_spelling_or_synonym,Моет полы на кордоне,Yes,"Case, spelling, or close synonym proposed for consolidation",P002445,178,,
носит сено,1,Agriculture and animal husbandry,descriptive_or_qualified,Носит сено,Yes,Narrative or qualified occupation; review the analytical trade and preserve detail,P002453,179,,
портной,1,Clothing and textile trades,case_spelling_or_synonym,Портной,Yes,"Case, spelling, or close synonym proposed for consolidation",P000760,73,,
рабочая,1,General and manual labor,case_spelling_or_synonym,Рабочая,Yes,"Case, spelling, or close synonym proposed for consolidation",P002324,170,,
слесарь,1,Metalworking and machinery,case_spelling_or_synonym,Слесарь,Yes,"Case, spelling, or close synonym proposed for consolidation",P000898,82,,
старший надзиратель,1,Administration and supervision,case_spelling_or_synonym,Старший надзиратель,Yes,"Case, spelling, or close synonym proposed for consolidation",P002769,197,,
стекольщик,1,Construction and building trades,case_spelling_or_synonym,Стекольщик,Yes,"Case, spelling, or close synonym proposed for consolidation",P002868,203,,
чернорабочая,1,General and manual labor,case_spelling_or_synonym,Чернорабочая,Yes,"Case, spelling, or close synonym proposed for consolidation",P001108,94,,
швея,1,Clothing and textile trades,case_spelling_or_synonym,Швея,Yes,"Case, spelling, or close synonym proposed for consolidation",P001041,90,,
