russian_value,record_count,english_value,owner_decision,owner_notes
"Коновал","1","Livestock healer","Revise",""
"Конторщик","1","Office clerk","Approve",""
"Котельщик","1","Boilermaker","Approve",""
"Красильщик","1","Dyer","Approve",""
"Кровельщик","1","Roofer","Approve",""
"Кухарка","1","Cook","Approve",""
"Литейщик","1","Foundry worker","Approve",""
"Ловит шримсов","1","Shrimp fisher","Approve",""
"Ложечник","1","Spoon maker","Approve",""
"Машинист","1","Engine operator","Approve",""
"Мясник","1","Butcher","Approve",""
"На катере","1","Launch worker","Approve",""
"Обойщик","1","Upholsterer","Approve",""
"Огородник","1","Vegetable grower","Revise",""
"Охотник; Каюр","1","Hunter; Dog-sled driver","Approve",""
"Охотник; Сапожник","1","Hunter; Shoemaker","Approve",""
"Папиросник","1","Papirosa maker","Revise",""
"Парикмахер","1","Hairdresser","Approve",""
"Певчий","1","Chorister","Approve",""
"Певчий регент","1","Choir director","Approve",""
"Перевозчик","1","Carrier","Approve",""
"Печник; Колбасник","1","Stove maker; Sausage maker","Approve",""
"Печник; Плотник","1","Stove maker; Carpenter","Approve",""
"Печник; Сапожник","1","Stove maker; Shoemaker","Approve",""
"Подмастерье у золотых дел мастера","1","Goldsmith's apprentice","Approve",""
"Портниха","1","Tailor","Approve",""
"Портной; Огородник","1","Tailor; Vegetable grower","Revise",""
"Прислуга","1","Domestic servant","Approve",""
"Псаломщик","1","Psalm reader","Approve",""
"Работает на покосе","1","Hayfield worker","Approve",""
"Работница","1","Worker","Approve",""
"Рыбак; Каюр","1","Fisherman; Dog-sled driver","Approve",""
"Садовник","1","Gardener","Approve",""
"Сапожник; Кожевник","1","Shoemaker; Leatherworker","Approve",""
"Скульптор","1","Sculptor","Approve",""
"Смазчик","1","Oiler","Approve",""
"Смотритель тюрьмы","1","Prison superintendent","Approve",""
"Старший надзиратель; Переплетчик","1","Senior warder; Bookbinder","Approve",""
"Стекольщик","1","Glazier","Approve",""
"Тележник","1","Cartwright","Approve",""
"Ткач суконный","1","Woollen-cloth weaver","Approve",""
"Учительница","1","Teacher","Approve",""
"Фельдегерь","1","Government courier","Approve",""
"Фельдшерица","1","Medical assistant","Approve",""
"Цирюльник","1","Barber","Approve",""
"Часовых дел мастер","1","Watchmaker","Approve",""
"Шляпочник","1","Hat maker","Approve",""
"Штейгер","1","Mine foreman","Approve",""
"Штукатур; Сапожник","1","Plasterer; Shoemaker","Approve",""
"Щеточник","1","Brush maker","Approve",""
