occupation,record_count,occupation_group,occupation_norm_approved,owner_decision_explicit,owner_note,comment_addition
чернорабочая,1,General and manual labor,Чернорабочая,No — proposal confirmed,,
чернорабочий,2,General and manual labor,Чернорабочий,No — proposal confirmed,,
Чернорабочий,200,General and manual labor,Чернорабочий,No — proposal confirmed,,
Швея,1,Clothing and textile trades,Швея,No — proposal confirmed,,
швея,1,Clothing and textile trades,Швея,No — proposal confirmed,,
Шляпочник,1,Clothing and textile trades,Шляпочник,No — proposal confirmed,,
Шорник,5,Footwear and leather trades,Шорник,No — proposal confirmed,,
Штейгер,1,Metalworking and machinery,Штейгер,No — proposal confirmed,,
Штукатур,3,Construction and building trades,Штукатур,No — proposal confirmed,,
Штукатур и сапожник,1,Compound occupations,Штукатур; Сапожник,No — proposal confirmed,,
Щеточник,1,Woodworking and manufactured crafts,Щеточник,No — proposal confirmed,,
,5972,No occupation recorded,,No — proposal confirmed,,
