person_id,page_number,origin_place,classification,origin_place_norm_proposed,age,sex,legal_status_norm,family_status_norm,comments
P000153,37,На Сахалине,exceptional_non_administrative,На Сахалине,6,Мужской,Сын крестьянина из ссыльных,Незаконнорожденный сын,210
P000158,37,На Сахалине,exceptional_non_administrative,На Сахалине,10,Мужской,Сын крестьянина из ссыльных,Сын,
P000159,37,На Сахалине,exceptional_non_administrative,На Сахалине,7,Мужской,Сын крестьянки из ссыльных,Сын,
P000160,37,На Сахалине,exceptional_non_administrative,На Сахалине,5,Мужской,Сын крестьянина из ссыльных,Сын,
P000161,37,На Сахалине,exceptional_non_administrative,На Сахалине,2,Мужской,Сын крестьянина из ссыльных,Сын,
P000174,38,На Сахалине,exceptional_non_administrative,На Сахалине,4,Мужской,Сын поселки,Сын,209
P000175,38,На Сахалине,exceptional_non_administrative,На Сахалине,2,Мужской,Сын поселки,Незаконнорожденный сын,208
P000176,38,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын поселки,Незаконнорожденный сын,201
P000180,38,На Сахалине,exceptional_non_administrative,На Сахалине,13,Мужской,Сын крестьянина из ссыльных,Сын,
P000181,38,На Сахалине,exceptional_non_administrative,На Сахалине,11,Женский,Дочь крестьянина из ссыльных,Дочь,
P000182,38,На Сахалине,exceptional_non_administrative,На Сахалине,7,Женский,Дочь крестьянина из ссыльных,Дочь,
P000183,38,На Сахалине,exceptional_non_administrative,На Сахалине,5,Мужской,Сын крестьянина из ссыльных,Сын,
P000186,38,На Сахалине,exceptional_non_administrative,На Сахалине,0,Женский,Дочь ссыльнокаторжной,Дочь,
P000188,38,На Сахалине,exceptional_non_administrative,На Сахалине,9,Мужской,Сын поселки,Сын,
P000196,39,На Сахалине,exceptional_non_administrative,На Сахалине,3,Мужской,Сын ссыльнокаторжной,Сын,
P000205,39,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын ссыльнокаторжной,Незаконнорожденный сын,206
P000208,40,На Сахалине,exceptional_non_administrative,На Сахалине,6,Женский,Дочь поселки,Незаконнорожденная дочь,205
P000216,40,На Сахалине,exceptional_non_administrative,На Сахалине,6,Женский,Дочь ссыльнокаторжной,Дочь,
P000217,40,На Сахалине,exceptional_non_administrative,На Сахалине,4,Женский,Дочь ссыльнокаторжной,Дочь,
P000218,40,На Сахалине,exceptional_non_administrative,На Сахалине,1,Женский,Дочь ссыльнокаторжной,Дочь,
P000225,41,На Сахалине,exceptional_non_administrative,На Сахалине,5,Мужской,Сын крестьянина из ссыльных,Сын,
P000226,41,На Сахалине,exceptional_non_administrative,На Сахалине,11,Мужской,Сын крестьянина из ссыльных,Сын,
P000227,41,На Сахалине,exceptional_non_administrative,На Сахалине,7,Мужской,Сын крестьянина из ссыльных,Сын,
P000235,41,На Сахалине,exceptional_non_administrative,На Сахалине,13,Женский,Дочь крестьянина из ссыльных,Дочь,
P000236,41,На Сахалине,exceptional_non_administrative,На Сахалине,10,Женский,Дочь крестьянина из ссыльных,Дочь,
P000237,41,На Сахалине,exceptional_non_administrative,На Сахалине,5,Женский,Дочь крестьянина из ссыльных,Дочь,
P000238,41,На Сахалине,exceptional_non_administrative,На Сахалине,3,Мужской,Сын крестьянина из ссыльных,Сын,
P000245,42,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын ссыльнокаторжного,Сын,
P000258,43,На Сахалине,exceptional_non_administrative,На Сахалине,3,Женский,Дочь ссыльнокаторжной,Незаконнорожденная дочь,203
P000259,43,На Сахалине,exceptional_non_administrative,На Сахалине,2,Женский,Дочь ссыльнокаторжной,Незаконнорожденная дочь,202
P000260,43,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын ссыльнокаторжной,Незаконнорожденный сын,201
P000262,43,На Сахалине,exceptional_non_administrative,На Сахалине,12,Женский,Дочь поселенца,Нянька,
P000264,43,На Сахалине,exceptional_non_administrative,На Сахалине,17,Женский,Свободного состояния,Жена,
P000265,43,На Сахалине,exceptional_non_administrative,На Сахалине,2,Мужской,Сын поселенца,Пасынок,Сын Сусанны от живого мужа
P000268,43,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын крестьянки из ссыльных,Незаконнорожденный сын,3 недели; 200
P000279,44,На Сахалине,exceptional_non_administrative,На Сахалине,13,Мужской,Сын крестьянки из ссыльных,Незаконнорожденный сын,199
P000284,44,На Сахалине,exceptional_non_administrative,На Сахалине,10,Женский,Дочь поселенца,Дочь,
P000285,44,На Сахалине,exceptional_non_administrative,На Сахалине,3,Женский,Дочь поселенца,Дочь,
P000291,44,На Сахалине,exceptional_non_administrative,На Сахалине,4,Женский,Дочь крестьянина из ссыльных,Дочь,
P000292,44,На Сахалине,exceptional_non_administrative,На Сахалине,2,Женский,Дочь крестьянина из ссыльных,Дочь,
P000299,45,На Сахалине,exceptional_non_administrative,На Сахалине,4,Мужской,Сын крестьянина из ссыльных,Сын,
P000300,45,На Сахалине,exceptional_non_administrative,На Сахалине,1,Мужской,Сын крестьянина из ссыльных,Сын,
P000308,45,На Сахалине,exceptional_non_administrative,На Сахалине,2,Мужской,Сын поселенца,Сын,
P000327,47,На Сахалине,exceptional_non_administrative,На Сахалине,4,Женский,Дочь ссыльнокаторжной,Незаконнорожденная дочь,197
P000330,47,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын ссыльнокаторжного,Сын,
P000333,47,На Сахалине,exceptional_non_administrative,На Сахалине,1,Мужской,Сын ссыльнокаторжной,Незаконнорожденный сын,196
P000335,47,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын ссыльнокаторжной,Незаконнорожденный сын,195
P000341,47,На Сахалине,exceptional_non_administrative,На Сахалине,1,Женский,Дочь крестьянина из ссыльных,Дочь,
P000344,48,На Сахалине,exceptional_non_administrative,На Сахалине,2,Женский,Дочь ссыльнокаторжного,Дочь,
P000345,48,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын ссыльнокаторжного,Сын,
P000349,48,На Сахалине,exceptional_non_administrative,На Сахалине,1,Мужской,Сын ссыльнокаторжной,Незаконнорожденный сын,194
P000364,49,На Сахалине,exceptional_non_administrative,На Сахалине,7,Женский,Дочь поселки,Незаконнорожденная дочь,191
P000365,49,На Сахалине,exceptional_non_administrative,На Сахалине,4,Мужской,Сын поселки,Незаконнорожденный сын,193
P000366,49,На Сахалине,exceptional_non_administrative,На Сахалине,2,Женский,Дочь поселки,Незаконнорожденная дочь,192
P000383,50,На Сахалине,exceptional_non_administrative,На Сахалине,3,Мужской,Сын поселки,Незаконнорожденный сын,190
P000386,50,На Сахалине,exceptional_non_administrative,На Сахалине,6,Женский,Дочь поселки,Незаконнорожденная дочь,189
P000387,50,На Сахалине,exceptional_non_administrative,На Сахалине,5,Мужской,Сын поселки,Незаконнорожденный сын,188
P000390,50,На Сахалине,exceptional_non_administrative,На Сахалине,2,Женский,Дочь ссыльнокаторжной,Незаконнорожденная дочь,186
P000391,50,На Сахалине,exceptional_non_administrative,На Сахалине,0,Женский,Дочь ссыльнокаторжной,Незаконнорожденная дочь,3 недели; 187
P000395,51,На Сахалине,exceptional_non_administrative,На Сахалине,10,Женский,Дочь поселки,Незаконнорожденная дочь,185
P000396,51,На Сахалине,exceptional_non_administrative,На Сахалине,5,Женский,Дочь поселки,Незаконнорожденная дочь,184
P000397,51,На Сахалине,exceptional_non_administrative,На Сахалине,3,Женский,Дочь поселки,Незаконнорожденная дочь,183
P000398,51,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын поселки,Незаконнорожденный сын,182
P000407,51,На Сахалине,exceptional_non_administrative,На Сахалине,6,Мужской,Сын ссыльнокаторжной,Незаконнорожденный сын,181
P000408,51,На Сахалине,exceptional_non_administrative,На Сахалине,4,Женский,Дочь ссыльнокаторжного,Незаконнорожденная дочь,180
P000453,54,На Сахалине,exceptional_non_administrative,На Сахалине,2,Женский,Дочь поселенца,Дочь,
P000461,54,На Сахалине,exceptional_non_administrative,На Сахалине,1,Женский,Дочь ссыльнокаторжного,Дочь,
P000465,55,На Сахалине,exceptional_non_administrative,На Сахалине,5,Мужской,Сын ссыльнокаторжного,Сын,
P000466,55,На Сахалине,exceptional_non_administrative,На Сахалине,2,Мужской,Сын ссыльнокаторжного,Сын,
P000475,55,На Сахалине,exceptional_non_administrative,На Сахалине,4,Мужской,Сын поселенца,Сын,
P000489,56,На Сахалине,exceptional_non_administrative,На Сахалине,9,Женский,Дочь поселки,Незаконнорожденная дочь,178
P000490,56,На Сахалине,exceptional_non_administrative,На Сахалине,4,Женский,Дочь поселки,Незаконнорожденная дочь,177
P000491,56,На Сахалине,exceptional_non_administrative,На Сахалине,2,Мужской,Сын поселки,Незаконнорожденный сын,176
P000496,57,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын ссыльнокаторжного,Сын,
P000523,58,На Сахалине,exceptional_non_administrative,На Сахалине,1,Мужской,Сын ссыльнокаторжной,Незаконнорожденный сын,173
P000532,59,На Сахалине,exceptional_non_administrative,На Сахалине,2,Женский,Дочь поселенца,Дочь,
P000547,60,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын ссыльнокаторжного,Сын,
P000553,60,На Сахалине,exceptional_non_administrative,На Сахалине,5,Женский,Дочь поселенца,Дочь,
P000569,61,На Сахалине,exceptional_non_administrative,На Сахалине,1,Женский,Дочь поселенца,Дочь,
P000572,61,На Сахалине,exceptional_non_administrative,На Сахалине,1,Женский,Дочь каторжного,Дочь,
P000575,62,На Сахалине,exceptional_non_administrative,На Сахалине,2,Женский,Дочь поселки,Дочь,
P000583,62,На Сахалине,exceptional_non_administrative,На Сахалине,1,Мужской,Сын ссыльнокаторжного,Сын,
P000590,63,На Сахалине,exceptional_non_administrative,На Сахалине,4,Мужской,Сын ссыльнокаторжной,Незаконнорожденный сын,169
P000594,63,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын ссыльнокаторжной,Незаконнорожденный сын,171
P000604,63,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын каторжного,Сын,
P000614,64,На Сахалине,exceptional_non_administrative,На Сахалине,4,Мужской,Сын ссыльнокаторжного,Сын,
P000615,64,На Сахалине,exceptional_non_administrative,На Сахалине,2,Мужской,Сын ссыльнокаторжного,Сын,
P000620,65,На Сахалине,exceptional_non_administrative,На Сахалине,1,Мужской,Сын каторжного,Сын,
P000629,65,На Сахалине,exceptional_non_administrative,На Сахалине,2,Женский,Дочь поселенца,Дочь,
P000645,66,На Сахалине,exceptional_non_administrative,На Сахалине,2,Мужской,Сын каторжного,Сын,
P000646,66,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын каторжного,Сын,2 недели
P000653,67,На Сахалине,exceptional_non_administrative,На Сахалине,1,Мужской,Сын каторжного,Сын,
P000665,67,На Сахалине,exceptional_non_administrative,На Сахалине,6,Женский,Дочь поселки,Незаконнорожденная дочь,167
P000666,67,На Сахалине,exceptional_non_administrative,На Сахалине,4,Женский,Дочь поселки,Незаконнорожденная дочь,168
P000691,69,На Сахалине,exceptional_non_administrative,На Сахалине,0,Женский,Дочь каторжного,Дочь,
P000698,69,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын каторжного,Сын,
P000709,70,На Сахалине,exceptional_non_administrative,На Сахалине,0,Женский,Дочь поселенца,Дочь,
P000723,71,На Сахалине,exceptional_non_administrative,На Сахалине,3,Мужской,Сын поселки,Незаконнорожденный сын,165
P000724,71,На Сахалине,exceptional_non_administrative,На Сахалине,1,Женский,Дочь поселки,Незаконнорожденная дочь,166
P000737,72,На Сахалине,exceptional_non_administrative,На Сахалине,6,Мужской,Сын поселки,Незаконнорожденный сын,164
P000746,72,На Сахалине,exceptional_non_administrative,На Сахалине,1,Мужской,Сын поселенца,Сын,
P000762,73,На Сахалине,exceptional_non_administrative,На Сахалине,1,Мужской,Сын ссыльнокаторжного,Сын,
P000775,74,На Сахалине,exceptional_non_administrative,На Сахалине,1,Женский,Дочь ссыльнокаторжной,Незаконнорожденная дочь,163
P000778,74,На Сахалине,exceptional_non_administrative,На Сахалине,1,Мужской,Сын ссыльнокаторжного,Сын,
P000781,74,На Сахалине,exceptional_non_administrative,На Сахалине,1,Женский,Дочь ссыльнокаторжной,Незаконнорожденная дочь,162
P000790,75,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын поселки,Незаконнорожденный сын,2 недели; 161
P000793,75,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын ссыльнокаторжного,Сын,
P000796,75,На Сахалине,exceptional_non_administrative,На Сахалине,2,Мужской,Сын ссыльнокаторжного,Сын,
P000797,75,На Сахалине,exceptional_non_administrative,На Сахалине,2,Мужской,Сын ссыльнокаторжного,Сын,
P000798,76,На Сахалине,exceptional_non_administrative,На Сахалине,0,Женский,Дочь ссыльнокаторжного,Дочь,
P000804,76,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын ссыльнокаторжного,Сын,
P000806,76,На Сахалине,exceptional_non_administrative,На Сахалине,2,Женский,Дочь поселки,Незаконнорожденная дочь,189
P000807,76,На Сахалине,exceptional_non_administrative,На Сахалине,1,Мужской,Сын поселки,Незаконнорожденный сын,168
P000822,77,На Сахалине,exceptional_non_administrative,На Сахалине,6,Женский,Дочь поселенца,Приемная дочь,
P000828,77,На Сахалине,exceptional_non_administrative,На Сахалине,4,Женский,Дочь поселенца,Приемная дочь,
P000847,79,На Сахалине,exceptional_non_administrative,На Сахалине,2,Мужской,Сын крестьянина из ссыльных,Сын,
P000848,79,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын крестьянина из ссыльных,Сын,
P000858,79,На Сахалине,exceptional_non_administrative,На Сахалине,6,Мужской,Сын поселенца,Сын,
P000859,79,На Сахалине,exceptional_non_administrative,На Сахалине,3,Мужской,Сын поселенца,Сын,
P000871,80,На Сахалине,exceptional_non_administrative,На Сахалине,4,Мужской,Сын ссыльнокаторжной,Незаконнорожденный сын,158
P000876,80,На Сахалине,exceptional_non_administrative,На Сахалине,2,Женский,Дочь поселенца,Дочь,
P000907,82,На Сахалине,exceptional_non_administrative,На Сахалине,7,Женский,Дочь поселки,Незаконнорожденная дочь,155
P000908,82,На Сахалине,exceptional_non_administrative,На Сахалине,2,Женский,Дочь поселки,Незаконнорожденная дочь,156
P000909,82,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын поселки,Незаконнорожденный сын,3 дня; Некрещенный; 157
P000920,83,На Сахалине,exceptional_non_administrative,На Сахалине,5,Мужской,Сын поселки,Незаконнорожденный сын,154
P000921,83,На Сахалине,exceptional_non_administrative,На Сахалине,0,Женский,Дочь поселки,Незаконнорожденная дочь,153
P000928,84,На Сахалине,exceptional_non_administrative,На Сахалине,3,Мужской,Сын поселки,Незаконнорожденный сын,150
P000930,84,На Сахалине,exceptional_non_administrative,На Сахалине,3,Женский,Дочь ссыльнокаторжной,Незаконнорожденная дочь,151
P000931,84,На Сахалине,exceptional_non_administrative,На Сахалине,1,Мужской,Сын ссыльнокаторжной,Незаконнорожденный сын,152
P000937,84,На Сахалине,exceptional_non_administrative,На Сахалине,7,Мужской,Сын поселенца,Сын,
P000938,84,На Сахалине,exceptional_non_administrative,На Сахалине,6,Женский,Дочь поселенца,Дочь,
P000939,84,На Сахалине,exceptional_non_administrative,На Сахалине,2,Женский,Дочь поселенца,Дочь,
P000949,85,На Сахалине,exceptional_non_administrative,На Сахалине,3,Мужской,Сын ссыльнокаторжного,Сын,
P000950,85,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын ссыльнокаторжного,Сын,
P000955,85,На Сахалине,exceptional_non_administrative,На Сахалине,3,Женский,Дочь поселенца,Дочь,
P000959,86,На Сахалине,exceptional_non_administrative,На Сахалине,3,Мужской,Сын поселенца,Сын,
P000960,86,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын поселенца,Сын,
P000970,86,На Сахалине,exceptional_non_administrative,На Сахалине,4,Мужской,Сын поселенца,Пасынок,
P000971,86,На Сахалине,exceptional_non_administrative,На Сахалине,2,Женский,Свободного состояния,Дочь,
P000974,86,На Сахалине,exceptional_non_administrative,На Сахалине,4,Женский,Дочь поселенца,Дочь,
P000975,86,На Сахалине,exceptional_non_administrative,На Сахалине,1,Мужской,Сын поселенца,Сын,
P000979,87,На Сахалине,exceptional_non_administrative,На Сахалине,4,Женский,Дочь поселенца,Дочь,
P000995,88,На Сахалине,exceptional_non_administrative,На Сахалине,5,Мужской,Сын поселки,Незаконнорожденный сын,149
P001005,88,На Сахалине,exceptional_non_administrative,На Сахалине,5,Мужской,Сын поселенца,Незаконнорожденный сын,148
P001021,89,На Сахалине,exceptional_non_administrative,На Сахалине,1,Мужской,Свободного состояния,Незаконнорожденный сын,147
P001026,90,На Сахалине,exceptional_non_administrative,На Сахалине,2,Мужской,Сын ссыльнокаторжной,Незаконнорожденный сын,146
P001029,90,На Сахалине,exceptional_non_administrative,На Сахалине,0,Женский,Свободного состояния,Незаконнорожденная дочь,145
P001032,90,На Сахалине,exceptional_non_administrative,На Сахалине,1,Мужской,Сын ссыльнокаторжного,Сын,
P001049,91,На Сахалине,exceptional_non_administrative,На Сахалине,2,Женский,Свободного состояния,Дочь,
P001061,91,На Сахалине,exceptional_non_administrative,На Сахалине,3,Женский,Дочь каторжного,Дочь,
P001062,91,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын каторжного,Сын,
P001091,93,На Сахалине,exceptional_non_administrative,На Сахалине,4,Женский,Дочь каторжной,Незаконнорожденная дочь,143
P001092,93,На Сахалине,exceptional_non_administrative,На Сахалине,3,Мужской,Сын каторжной,Незаконнорожденный сын,144
P001093,93,На Сахалине,exceptional_non_administrative,На Сахалине,2,Мужской,Сын каторжной,Незаконнорожденный сын,5
P001098,94,На Сахалине,exceptional_non_administrative,На Сахалине,5,Женский,Дочь поселенца,Дочь,
P001099,94,На Сахалине,exceptional_non_administrative,На Сахалине,3,Мужской,Сын поселенца,Сын,
P001100,94,На Сахалине,exceptional_non_administrative,На Сахалине,1,Мужской,Сын поселенца,Сын,
P001103,94,На Сахалине,exceptional_non_administrative,На Сахалине,2,Женский,Дочь каторжного,Дочь,
P001104,94,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын каторжного,Сын,
P001111,94,На Сахалине,exceptional_non_administrative,На Сахалине,4,Мужской,Сын каторжного,Сын,
P001112,95,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын каторжного,Сын,
P001129,96,На Сахалине,exceptional_non_administrative,На Сахалине,2,Мужской,Сын каторжной,Незаконнорожденный сын,141
P001134,96,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын каторжной,Сын,
P001149,97,На Сахалине,exceptional_non_administrative,На Сахалине,0,Женский,Дочь поселки,Дочь,
P001152,97,На Сахалине,exceptional_non_administrative,На Сахалине,2,Женский,Дочь каторжного,Дочь,
P001153,97,На Сахалине,exceptional_non_administrative,На Сахалине,1,Мужской,Сын каторжного,Сын,
P001160,97,На Сахалине,exceptional_non_administrative,На Сахалине,5,Мужской,Сын поселенца,Сын,
P001161,98,На Сахалине,exceptional_non_administrative,На Сахалине,4,Мужской,Сын поселенца,Сын,
P001162,98,На Сахалине,exceptional_non_administrative,На Сахалине,1,Мужской,Сын поселенца,Сын,
P001169,98,На Сахалине,exceptional_non_administrative,На Сахалине,4,Мужской,Сын каторжного,Сын,
P001183,99,На Сахалине,exceptional_non_administrative,На Сахалине,3,Женский,Дочь каторжного,Дочь,
P001190,99,На Сахалине,exceptional_non_administrative,На Сахалине,5,Мужской,Сын каторжной,Незаконнорожденный сын,139
P001195,100,На Сахалине,exceptional_non_administrative,На Сахалине,3,Женский,Дочь каторжной,Незаконнорожденная дочь,Коробкин. 138
P001207,100,На Сахалине,exceptional_non_administrative,На Сахалине,1,Мужской,Сын поселки,Незаконнорожденный сын,137
P001214,101,На Сахалине,exceptional_non_administrative,На Сахалине,18,Женский,Свободного состояния,Жена,
P001219,101,На Сахалине,exceptional_non_administrative,На Сахалине,3,Женский,Дочь каторжного,Дочь,
P001232,102,На Сахалине,exceptional_non_administrative,На Сахалине,3,Мужской,Свободного состояния,Сын,
P001236,102,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын каторжного,Сын,
P001239,102,На Сахалине,exceptional_non_administrative,На Сахалине,3,Женский,Дочь каторжного,Дочь,
P001240,102,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын каторжного,Сын,
P001248,103,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын поселенца,Сын,
P001279,105,На Сахалине,exceptional_non_administrative,На Сахалине,2,Мужской,Сын каторжной,Незаконнорожденный сын,136
P001312,107,На Сахалине,exceptional_non_administrative,На Сахалине,1,Женский,Дочь ссыльнокаторжного,Дочь,
P001315,107,На Сахалине,exceptional_non_administrative,На Сахалине,1,Мужской,Сын поселенца,Сын,
P001325,108,На Сахалине,exceptional_non_administrative,На Сахалине,0,Женский,Дочь ссыльнокаторжного,Дочь,
P001329,108,На Сахалине,exceptional_non_administrative,На Сахалине,1,Женский,Дочь ссыльнокаторжного,Дочь,
P001346,109,На Сахалине,exceptional_non_administrative,На Сахалине,6,Женский,Дочь поселенца,Дочь,
P001347,109,На Сахалине,exceptional_non_administrative,На Сахалине,3,Мужской,Сын поселенца,Сын,
P001355,109,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын ссыльнокаторжного,Сын,
P001359,110,На Сахалине,exceptional_non_administrative,На Сахалине,4,Женский,Дочь ссыльнокаторжного,Дочь,
P001374,111,На Сахалине,exceptional_non_administrative,На Сахалине,3,Женский,Дочь поселки,Незаконнорожденная дочь,133
P001377,111,На Сахалине,exceptional_non_administrative,На Сахалине,14,Мужской,Сын крестьянки из ссыльных,Незаконнорожденный сын,
P001378,111,На Сахалине,exceptional_non_administrative,На Сахалине,10,Мужской,Сын крестьянки из ссыльных,Незаконнорожденный сын,131
P001379,111,На Сахалине,exceptional_non_administrative,На Сахалине,7,Мужской,Сын крестьянки из ссыльных,Незаконнорожденный сын,2
P001380,111,На Сахалине,exceptional_non_administrative,На Сахалине,5,Женский,Дочь крестьянки из ссыльных,Незаконнорожденная дочь,129
P001381,111,На Сахалине,exceptional_non_administrative,На Сахалине,3,Мужской,Сын крестьянки из ссыльных,Незаконнорожденный сын,128
P001395,112,На Сахалине,exceptional_non_administrative,На Сахалине,3,Мужской,Сын ссыльнокаторжного,Сын,
P001404,112,На Сахалине,exceptional_non_administrative,На Сахалине,1,Мужской,Свободного состояния,Сын,
P001439,115,На Сахалине,exceptional_non_administrative,На Сахалине,12,Мужской,Сын крестьянина из ссыльных,Сын,
P001441,115,На Сахалине,exceptional_non_administrative,На Сахалине,3,Женский,Дочь крестьянина из ссыльных,Дочь,
P001444,115,На Сахалине,exceptional_non_administrative,На Сахалине,13,Женский,Дочь крестьянина из ссыльных,Дочь,
P001445,115,На Сахалине,exceptional_non_administrative,На Сахалине,11,Женский,Дочь крестьянина из ссыльных,Дочь,
P001447,115,На Сахалине,exceptional_non_administrative,На Сахалине,4,Мужской,Сын крестьянина из ссыльных,Сын,
P001448,115,На Сахалине,exceptional_non_administrative,На Сахалине,0,Женский,Дочь крестьянина из ссыльных,Дочь,
P001452,116,На Сахалине,exceptional_non_administrative,На Сахалине,11,Женский,Дочь крестьянина из ссыльных,Дочь,
P001458,116,На Сахалине,exceptional_non_administrative,На Сахалине,6,Мужской,Сын поселки,Незаконнорожденный сын,504
P001459,116,На Сахалине,exceptional_non_administrative,На Сахалине,4,Женский,Дочь поселенца,Дочь,
P001460,116,На Сахалине,exceptional_non_administrative,На Сахалине,1,Мужской,Сын поселенца,Сын,
P001468,116,На Сахалине,exceptional_non_administrative,На Сахалине,13,Женский,Дочь крестьянина из ссыльных,Дочь,
P001469,117,На Сахалине,exceptional_non_administrative,На Сахалине,11,Женский,Дочь крестьянина из ссыльных,Дочь,
P001472,117,На Сахалине,exceptional_non_administrative,На Сахалине,12,Женский,Дочь крестьянина из ссыльных,Дочь,
P001478,117,На Сахалине,exceptional_non_administrative,На Сахалине,9,Женский,Дочь поселки,Незаконнорожденная дочь,502
P001479,117,На Сахалине,exceptional_non_administrative,На Сахалине,9,Женский,Дочь поселки,Незаконнорожденная дочь,501
P001480,117,На Сахалине,exceptional_non_administrative,На Сахалине,5,Женский,Дочь поселки,Незаконнорожденная дочь,500
P001483,117,На Сахалине,exceptional_non_administrative,На Сахалине,9,Мужской,Сын крестьянина из ссыльных,Сын,
P001488,118,На Сахалине,exceptional_non_administrative,На Сахалине,13,Мужской,Сын крестьянина из ссыльных,Сын,
