legal_status,record_count,district_count,districts,example_person_id,example_source_position_id,example_name_raw,review_notes
Рядовой,3,1,Александровский,P002775,1-18-Дом_Протопопова_и_Пастухова-0165,Константин Протопопов,
Административно сосланный,2,1,Тымовский,P004619,2-24-164-0583,Арап Хан Адам,
Дочь солдатки,2,1,Корсаковский,P007208,3-45-052-0087,Ксения Бардакова,
Запасный унтер-офицер,2,1,Тымовский,P004101,2-24-017-0065,Денис Евсеев Перелыгин,
Крестьянка свободного состояния,2,1,Александровский,P002440,1-09-051-0079,Матрена Дмитриевна Барышникова,
Мещанин,2,1,Александровский,P000148,1-02-001-0053,Бронислав Фращинский,
Поселенец Александровского округа,2,1,Александровский,P001484,1-03-013-0051,Иосиф Ковалевский,
Поселка Тымовского округа,2,1,Александровский,P000187,1-02-006-0092,Пелагея Тимофеева Алпеева,
Свободного состояния жена,2,1,Тымовский,P004499,2-24-118-0463,Евгенья Дмитриева Тюленева,
Сын крестьянки,2,2,Александровский; Тымовский,P001666,1-03-051-0233,Ефим Усов,
Сын надворного советника,2,1,Александровский,P000069,1-01-012-0069,Андрей Иванов Карауловский,
Сын поселенки,2,1,Александровский,P001993,1-04-091-0300,Максим Васильев,
Унтер-офицер,2,2,Александровский; Корсаковский,P001896,1-04-063-0203,Алексей Антонов Самсонов,
Штейгер,2,1,Александровский,P002791,1-18-Казарма-0181,Семен Алексеевич Маев,
Административный ссыльный,1,1,Александровский,P000246,1-02-018-0151,Василий Петрович Бражников,
Врач,1,1,Александровский,P002794,1-18-Казарма-0184,Артур Григорьевич Зихер,
Дворянин,1,1,Александровский,P002618,1-18-002-0008,Михаил Викторович Иванов,
Дочь крестьянки,1,1,Александровский,P001497,1-03-015-0064,Аксинья Васильева,
Дочь надворного советника,1,1,Александровский,P000071,1-01-012-0071,Галина Иванова Карауловская,
Дочь отставного рядового,1,1,Александровский,P000066,1-01-011-0066,Авдотья Васильева Герасимова,
Дочь подполковника,1,1,Александровский,P002790,1-18-Казарма-0180,Жданова,
Дочь поселенеца Тымовского округа,1,1,Александровский,P000262,1-02-022-0167,Аграфена Степанова Непомнящая,
Дочь поселенца. Дочь,1,1,Корсаковский,P006413,3-33-011-0018,Анна Потапова Лихутина,
Дочь рядового,1,1,Александровский,P002369,1-09-030-0008,Елизавета Иванова Романова,
Жена врача,1,1,Александровский,P002795,1-18-Казарма-0185,N. N. Зихер,
Жена надворного советника дочь поселенца,1,1,Александровский,P000068,1-01-012-0068,Дарья Ивановна Карауловская,
Жена подполковника,1,1,Александровский,P002788,1-18-Казарма-0178,Дора N. Жданова,
Жена рядового,1,1,Корсаковский,P007207,3-45-052-0086,Анна Васильева Бардакова,
Жена рядового Дуйской команды,1,1,Александровский,P002368,1-09-030-0007,Авдотья Игнатьева Романова,
Женщина свободного состояния. Жена,1,1,Корсаковский,P006905,3-43-039-0053,Татьяна Тихонова Романова,
Запасный ефрейтор,1,1,Тымовский,P004272,2-24-059-0236,Павел Ефимов Родионов,
Канцелярский служащий,1,1,Александровский,P002796,1-18-Казарма-0186,Станислав Осипович Козарский,
Капитан,1,1,Александровский,P002798,1-18-Казарма-0188,Павлин Иванович Машинский,
Крестьянин из крестьян,1,1,Корсаковский,P007360,3-48-018-0034,Иван Иванов Ключик,
Крестьянин из поселенцев,1,1,Тымовский,P004257,2-24-058-0221,Роман Иванов Бокарев,
Крестьянин из ссыльнопоселенцев,1,1,Тымовский,P004163,2-24-031-0127,Андрей Максимов Белолюбский,
Кузнец,1,1,Александровский,P002784,1-18-Собственный_дом-0174,Август Кестлер,
Мещанин г. Николаевска,1,1,Александровский,P000111,1-02-Казарма_Б-0016,Иван Андреевич Петров,
Надворный советник,1,1,Александровский,P000067,1-01-012-0067,Иван Семенович Карауловский,
Незаконнорожденная дочь поселки,1,1,Тымовский,P002912,2-19-011-0028,Авдотья Колобова,
Повивальная бабка,1,1,Александровский,P002800,1-18-Казарма-0190,Александра Ильинишна Степанова,
Подполковник,1,1,Александровский,P002787,1-18-Казарма-0177,Алексей Иванович Жданов,
Подпоручик,1,1,Александровский,P002799,1-18-Казарма-0189,Сергей Алексеевич Фельдман,
Поселенец временно уволенный,1,1,Александровский,P001246,1-02-256-1151,Андрей Иванов Мамелюк,
Поселка (богадельщик),1,1,Тымовский,P004288,2-24-061-0252,Иван Бондарев,
Почетный гражданин административный ссыльный,1,1,Александровский,P001928,1-04-072-0235,Иван Иванов Хмелевцев,
Рядовой Дуйской команды,1,1,Александровский,P002367,1-09-030-0006,Иван Евстафьев Романов,
Рядовой запаса,1,1,Александровский,P002223,1-05-Казарма-0084,Иван Ананьев Убьенных,
Свободного состояния Тымовского округа,1,1,Александровский,P000039,1-01-006-0039,Капитолина Кузьмина Яганова,
Свободного состояния жена поселенца,1,1,Тымовский,P003785,2-21-305-0632,Ревекка Гамберг,
Свободного состояния мещанин,1,1,Александровский,P001369,1-02-301-1274,Манифатий Петров Лукьянов,
Свободного состояния солдатка,1,1,Александровский,P002121,1-04-Телеграф-0428,Анна Осипова Сафронова,
Совладелец,1,1,Тымовский,P004557,2-24-140-0521,Влас Устинов Карачинцев,
Старший надзиратель,1,1,Корсаковский,P006266,3-29-041-0102,Сергей Иванов Макеев,
Сын подполковника,1,1,Александровский,P002789,1-18-Казарма-0179,Жданов,
Сын поселки Тымовского округа,1,1,Александровский,P000188,1-02-006-0093,Николай Алпеев,
Сын рядового,1,1,Александровский,P002771,1-18-Дом_Урусова-0161,Анатолий Урусов,
Сын солдатки,1,1,Корсаковский,P007209,3-45-052-0088,Александр Бардаков,
Уволенный в запас Армии Рядовой,1,1,Тымовский,P004970,2-24-259-0934,Кирил Владимиров Зеников,
Фельдшер,1,1,Александровский,P001139,1-02-Коллежский_регистратор_2305-1044,Владимир Семенович Тамбовский,
